time,x,y,theta
1890.705,-2.609024107869118e-13,3.019806626980426e-14,-5.261861910632604e-07
1890.708,-2.609024107869118e-13,3.019806626980426e-14,-5.261899729269714e-07
1890.712,-2.609024107869118e-13,3.019806626980426e-14,-5.261937547906825e-07
1890.717,-2.609024107869118e-13,3.019806626980426e-14,-5.261975366543936e-07
1890.719,-3.40484433380972e-06,-8.851922506103449e-08,-0.0001661124494889421
1890.723,-2.609024107869118e-13,2.9976021664879227e-14,-5.262051003818158e-07
1890.727,-2.611244553918368e-13,2.8199664825478976e-14,-5.262088822455269e-07
1890.731,-4.205013888203268e-06,-1.4012435012311641e-07,-0.0001609340694854744
1890.734,-2.611244553918368e-13,2.8199664825478976e-14,-5.26216445972949e-07
1890.738,-2.611244553918368e-13,2.7977620220553945e-14,-5.262202278366601e-07
1890.742,-4.208133828509375e-06,-1.41834673117458e-07,-0.00016094301978641923
1890.746,-2.611244553918368e-13,2.7977620220553945e-14,-5.262277920081715e-07
1890.75,-2.611244553918368e-13,2.7977620220553945e-14,-5.262315743159718e-07
1890.755,-2.611244553918368e-13,2.7977620220553945e-14,-5.262353561796829e-07
1890.76,-2.611244553918368e-13,2.7977620220553945e-14,-5.262391384874832e-07
1890.762,-2.611244553918368e-13,2.7977620220553945e-14,-5.262429203511942e-07
1890.765,-2.611244553918368e-13,2.7755575615628914e-14,-5.262467026589945e-07
1890.768,-4.202290415866727e-06,-1.4689728744521346e-07,-0.00016099319653184452
1890.772,-2.611244553918368e-13,2.7755575615628914e-14,-5.262542668305059e-07
1890.776,-4.198990466663943e-06,-1.4754858379539826e-07,-0.0001610107930241078
1890.782,-2.611244553918368e-13,2.7755575615628914e-14,-5.262618310020173e-07
1890.786,-2.6134649999676185e-13,2.5979218776228663e-14,-5.262656133098176e-07
1890.79,-3.5383009515665975e-06,-1.4748744492365518e-07,-0.000165429342726231
1890.794,-2.6134649999676185e-13,2.5979218776228663e-14,-5.262731779254182e-07
1890.8,-2.6134649999676185e-13,2.5757174171303632e-14,-5.262769602332185e-07
1890.806,-2.6134649999676185e-13,2.5757174171303632e-14,-5.262807425410188e-07
1890.81,-3.4571766649449387e-06,-1.4554647176368007e-07,-0.00016596719144379435
1890.815,-2.6134649999676185e-13,2.5757174171303632e-14,-5.262883071566193e-07
1890.821,-2.6134649999676185e-13,2.5757174171303632e-14,-5.262920894644196e-07
1890.826,-3.4006465601255087e-06,-1.4410014181898134e-07,-0.00016634184461139512
1890.832,-3.371648416905515e-06,-1.4333020392776064e-07,-0.00016653398973964784
1890.837,-2.6134649999676185e-13,2.5757174171303632e-14,-5.263034363878205e-07
1890.842,-2.6134649999676185e-13,2.55351295663786e-14,-5.2630721913971e-07
1890.847,-2.6134649999676185e-13,2.55351295663786e-14,-5.263110023356887e-07
1890.85,-0.00012795524512121403,-5.631449714327275e-06,-0.011394824420613237
1890.856,-3.026149508755793e-07,-6.807153063448368e-09,-0.00018686639822984574
1890.86,-2.6201263381153694e-13,2.2870594307278225e-14,-5.263223630258551e-07
1890.864,-2.6201263381153694e-13,2.2870594307278225e-14,-5.263261506627259e-07
1890.868,-2.6201263381153694e-13,2.2870594307278225e-14,-5.263299378555075e-07
1890.871,-1.2591668352435192e-07,1.5770349470756173e-09,-0.00018803911043185906
1890.875,-2.6201263381153694e-13,2.2870594307278225e-14,-5.263375122410707e-07
1890.88,-2.6201263381153694e-13,2.2648549702353193e-14,-5.263412994338523e-07
1890.884,-2.6201263381153694e-13,2.2648549702353193e-14,-5.263450866266339e-07
1890.89,-2.6201263381153694e-13,2.2648549702353193e-14,-5.263488733753263e-07
1890.894,1.0608869316364178e-07,2.7299236204925137e-08,-0.00018955666706332863
1890.897,-2.6201263381153694e-13,2.2426505097428162e-14,-5.263564473168003e-07
1890.902,-2.6201263381153694e-13,2.2426505097428162e-14,-5.263602345095819e-07
1890.905,-2.6201263381153694e-13,2.2426505097428162e-14,-5.263640217023635e-07
1890.91,-2.62234678416462e-13,2.020605904817785e-14,-5.263678084510559e-07
1890.914,-2.62234678416462e-13,2.020605904817785e-14,-5.263715956438375e-07
1890.918,1.654079037960443e-06,1.386276338166681e-07,-0.00019976602681470723
